Title name,Print-ISSN,E-ISSN,Date of acceptance,Publisher
Journal of Neurocritical Care,20050348,25081349,Dec-2021,The Korean Neurocritical Care Society
Journal of Biosafety and Biosecurity,,25889338,Dec-2021,KeAI Publishing Group
Clinical Infection in Practice,,25901702,Dec-2021,Elsevier
Texas Water Journal,,21605319,Dec-2021,Texas Water Journal in cooperation with the Texas Water Resources Institute
WSEAS Transactions on Electronics,11099445,24151513,Dec-2021,WSEAS World Scientific and Engineering Academy and Society
WSEAS Transactions on Information Science and Applications,17900832,22243402,Dec-2021,WSEAS World Scientific and Engineering Academy and Society
WSEAS Transactions on Circuits and Systems,11092734,2224266X,Dec-2021,WSEAS World Scientific and Engineering Academy and Society
Art-Sanat Dergisi,,21483582,Nov-2021,Istanbul University Press
Palgrave Series in Asian German Studies,27315657,27315665,Nov-2021,Springer:  Palgrave Macmillan
Mediterranean Perspectives,27315592,27315606,Nov-2021,Springer:  Palgrave Macmillan
Palgrave Studies in Oral History,27315673,27315681,Nov-2021,Springer:  Palgrave Macmillan
Holocaust and its Contexts,27315711,2731572X,Nov-2021,Springer:  Palgrave Macmillan
Classics Ireland,07919417,07919417,Nov-2021,The Classical Association of Ireland
Palgrave Studies in the History of Genocide,2731569X,27315703,Nov-2021,Springer:  Palgrave Macmillan
Journal of Health and Safety at Work,2251807X,23832088,Nov-2021,TUMS Tehran University of Medical Sciences
Frontiers of Oral and Maxillofacial Medicine,,2664777X,Nov-2021,AME Publishing Company
Advances in Food Security and Sustainability,,24522635,Nov-2021,Elsevier
Chinese Quarterly of Mechanics,02540053,,Nov-2021,Editorial Office of Chinese Quarterly of Mechanic
Developments in the Built Environment,,26661659,Nov-2021,Elsevier
Journal of Mining and Strata Control Engineering,20967187,,Nov-2021,Journal of Mining and Strata Control Engineering
International Journal of Crowd Science,,23987294,Nov-2021,Emerald
Journal of Indonesian Economy and Business,20858272,23385847,Nov-2021,Universitas Gadjah Mada
Acta Commercii,24131903,16841999,Nov-2021,AOSIS
Turkish Journal of Earthquake Research,,2687301X,Nov-2021,Disaster and Emergency Management Authority
Arid Land Geography,10006060,,Nov-2021,Science Press (China)
Bulletin of Kamchatka Regional Association Educational-Scientific Center. Earth Sciences,18165524,18165532,Nov-2021,Institute of Volcanology and Seismology Far Eastern Branch of the Russian Academy of Sciences
Quaternary Science Advances,,26660334,Nov-2021,Elsevier
Batten-Corbet-Lucey Handbooks in Alternative Investments,26293714,26293722,Nov-2021,Walter de Gruyter
Greening of Industry Networks Studies,25430246,25430254,Nov-2021,Springer
Rivista di Storia Economica,03933415,26121026,Nov-2021,Societa Editrice il Mulino
Journal of Tax Reform,24128872,24149497,Nov-2021,Baikal State University
R-Economy,,24120731,Nov-2021,Ural Federal University
Folia Oeconomica Stetinensia,17304237,18980198,Nov-2021,Walter de Gruyter: Sciendo
University Library at a New Stage of Social Communications Development. Conference Proceedings,,27070476,Nov-2021,Dnipro National University of Railway Transport named after Academician V. Lazaryan
Knowledge and Performance Management,25435507,26163829,Nov-2021,LLC CPC 'Business Perspectives'
Computer Engineering,10003428,,Nov-2021,Editorial Board of Computer Engineering
"Redescriptions: Political Thought, Conceptual History and Feminist Theory",,23080914,Nov-2021,Helsinki University Press
Anais do Museu Paulista,01014714,19820267,Nov-2021,Univ. de Sao Paulo * Museu Paulista
Sophia,13903861,13908626,Nov-2021,Universidad Politecnica Salesiana
Metatheoria,18532322,18532330,Nov-2021,Editorial de la Universidad Nacional de Quilmes
Egyptian Journal of Otolaryngology,10125574,20908539,Nov-2021,Springer
North American Spine Society Journal,,26665484,Nov-2021,Elsevier
Journal of Early Modern Christianity,21966648,21966656,Nov-2021,Walter de Gruyter
Palgrave Macmillan Transnational History Series,26346273,26346281,Nov-2021,Springer:  Palgrave Macmillan
New Zealand Journal of Asian Studies,11748915,,Nov-2021,New Zealand Asian Studies Society
Palgrave Studies in the History of Childhood,26346532,26346540,Nov-2021,Springer:  Palgrave Macmillan
CIAN-Revista de Historia de las Universidades,11396628,19888503,Nov-2021,Carlos III University of Madrid
Hungarian Journal of English and American Studies,12187364,27320421,Nov-2021,Debrecen University Press
Hermeneutics of Old Russian Literature,16076192,27132226,Nov-2021,A.M. Gorky Institute of World Literature of the Russian Academy of Sciences
Zhurnal Belorusskogo Gosudarstvennogo Universiteta. Istoriya,25206338,26174006,Nov-2021,Belarusian State University
"Advances in Chemical Pollution, Environmental Management and Protection",,24689270,Nov-2021,Elsevier
Reproductive Health. Eastern Europe,22263276,24143634,Nov-2021,Publishing Private Unitary Enterprise 'Professionalnye Izdaniya'
Pirogov Russian Journal of Surgery,00231207,23095628,Nov-2021,Media Sfera
Current Pediatrics Reports,,21674841,Nov-2021,Springer
Russian Rhinology,08695474,24118788,Nov-2021,Media Sfera
Journal of Dharma Studies,25220926,25220934,Nov-2021,Springer
Surgery Eastern Europe,22265384,24141992,Nov-2021,Publishing Private Unitary Enterprise 'Professionalnye Izdaniya'
Laboratory Diagnostics. Eastern Europe,22265392,2522137X,Nov-2021,Publishing Private Unitary Enterprise 'Professionalnye Izdaniya'
I.P. Pavlov Russian Medical Biological Herald,02043475,25002546,Nov-2021,Eco-Vector
Medical Technologies. Assessment and Choice,22190678,27127877,Nov-2021,Media Sfera
Palgrave Studies in Screenwriting,27314480,27314499,Nov-2021,Springer:  Palgrave Macmillan
Radiation Medicine and Protection,,26665557,Nov-2021,KeAI Publishing Group
Journal of Qualitative  Research in Health Science,,26456109,Nov-2021,Kerman University of Medical Sciences
Hispanic Urban Studies,26625830,26625849,Nov-2021,Springer:  Palgrave Macmillan
Written Monuments of the Orient,24100145,,Nov-2021,'Nauka' Publishers: 'Vostochnaya Literatura' (Oriental Literature) Publisher
Journal of English Language and Literature,10162283,24658545,Nov-2021,English Language and Literature Association of Korea
Palgrave Studies in the History of the Media,26346575,26346583,Nov-2021,Springer:  Palgrave Macmillan
Philologia Antiqua,19719078,20353561,Nov-2021,Fabrizio Serra Editore
Ius Ecclesiae,11206462,19725671,Nov-2021,Fabrizio Serra Editore
Brain Hemorrhages,,2589238X,Nov-2021,KeAI Publishing Group
Forestist,,26024039,Nov-2021,Istanbul University Press
"Journal of Financial Management, Markets and Institutions",,2282717X,Nov-2021,World Scientific Publishing
Srednie Veka,01318780,,Nov-2021,Nauka Publishers
Data and Information Management,25439251,,Nov-2021,Walter de Gruyter: Sciendo
Journal of Global Business and Trade,19465130,24704733,Nov-2021,International Academy of Global Business and Trade
Archives of Health Science and Research,,26874644,Nov-2021,Aves Yayincilik
Journal of Entrepreneurship and Innovation in Emerging Economies,23939575,23949945,Nov-2021,Sage
Revista de Contabilidade e Organizacoes,,19826486,Nov-2021,Universidade de Sao Paulo
Journal of Integrative Nursing,26669854,26634481,Nov-2021,Wolters Kluwer: Medknow Publications
Revista Iberoamericana de Educacion a Distancia,11382783,13903306,Nov-2021,Ibero-American Association of Distance Higher Education
Environmental Economics,19986041,1998605X,Nov-2021,Limited Liability Company 'Consulting Publishing Company 'Business Perspectives'
Insurance Markets and Companies,26163551,25229591,Nov-2021,LLC CPC 'Business Perspectives'
Journal of Tourism and Services,,18045650,Nov-2021,Center for International Scientific Research of V'O and V'PP
Journal of Social Economics Research,23126329,23126264,Nov-2021,Conscientia Beam
Journal of Istanbul Faculty of Medicine,,13056441,Nov-2021,Istanbul University Press
Revue d'Histoire de la Pensee Economique,24964646,24958670,Nov-2021,Classiques Garnier
Journal of Management and Business Research,25214306,,Nov-2021,Chinese Management Association
Revista de Agricultura Neotropical,,23586303,Nov-2021,Universidade Estadual de Mato Grosso do Sul
Analytical Methods of Environmental Chemistry Journal,26455552,26455382,Nov-2021,"Prof. Hamid Shirkhanloo, Analytical Methods in Environmental Chemistry"
"Innovation, Technology and Knowledge Management",21975698,21975701,Nov-2021,Springer
Neurobiology of Language,,26414368,Nov-2021,MIT Press
Chinese Journal of Biochemistry and Molecular Biology,10077626,,Nov-2021,Editorial Office of Chinese Journal of Biochemistry and Molecular Biology
Journal of Environmental and Earth Sciences,,26613190,Nov-2021,Bilingual Publishing CO.
Transdisciplinary Journal of Engineering and Science,,19490569,Nov-2021,The ATLAS Publishing
Tecnoscienza,,20383460,Nov-2021,STS Italia - The Italian Society for Social Studies of Science and Technology
Frontiers in Water,,26249375,Nov-2021,Frontiers Media S.A.
Plant Stress,,2667064X,Nov-2021,Elsevier
Environmental Science: Atmospheres,,26343606,Nov-2021,Royal Society of Chemistry
ACS Environmental Science and Technology Water,,26900637,Nov-2021,ACS American Chemical Society
Linguistica Lettica,14071932,,Nov-2021,Latvian Language Institute
Borneo Journal of Resource Science and Technology,22299769,01282972,Nov-2021,UNIMAS Publisher
Journal of Environmental and Occupational Medicine,20959982,,Nov-2021,Editorial Committee of Journal of Environmental and Occupational Medicine
"Emotions: History, Culture, Society",22067485,2208522X,Nov-2021,Brill
Communications Earth and Environment,,26624435,Nov-2021,Springer:  Nature Publishing Group
Revista Geografica de Chile Terra Australis,03788482,07199562,Nov-2021,Universidad Bernardo O'Higgins
Springer Proceedings in Earth and Environmental Sciences,2524342X,25243438,Nov-2021,Springer
Nivar,17350565,26453347,Nov-2021,IRIMO
Journal of Deep Space Exploration,20969287,,Nov-2021,Beijing Institute of Technology Press
Journal of Palaeogeography (Chinese Edition),16711505,,Nov-2021,Science Press (China)
Space Science and Technology,15618889,25181459,Nov-2021,Publishing House 'Akademperiodyka'
Journal of Earth Sciences and Environment,16726561,,Nov-2021,"Chang'an University, editorial office of Journal of Earth Sciences and Environment"
"Exploration Geophysics, Remote Sensing and Environment",18031447,18052266,Nov-2021,CAAG Czech Association of Geophysicists
Food Chemistry: Molecular Sciences,,26665662,Nov-2021,Elsevier
Clinical Parkinsonism and Related Disorders,,25901125,Nov-2021,Elsevier
Advanced Ultrasound in Diagnosis and Therapy,25762508,25762516,Nov-2021,Advanced Ultrasound in Diagnosis and Therapy
Health Policy Open,,25902296,Nov-2021,Elsevier
Advances in Agriculture,2356654X,23147539,Nov-2021,Wiley-Blackwell: Hindawi
Pamukkale Journal of Sport Sciences,,13090356,Nov-2021,"Pamukkale University, Faculty of Sport Sciences"
Drug Evaluation Research,16746376,,Nov-2021,Tianjin Press
Fundamental Research,,26673258,Oct-2021,KeAI Publishing Group
Therapeutic Advances in Vaccines and Immunotherapy,25151355,25151363,Oct-2021,Sage
"American Journal of Obstetrics and Gynecology, Maternal-Fetal Medicine",,25899333,Oct-2021,Elsevier
Population Medicine,,26541459,Oct-2021,European Publishing
"Cancer Research, Statistics, and Treatment",25903233,25903225,Oct-2021,Wolters Kluwer: Medknow Publications
Cell Reports Methods,,26672375,Oct-2021,Elsevier:  Cell Press
Journal of Science in Sport and Exercise,20966709,26621371,Oct-2021,Springer
Springer Water,23646934,23648198,Oct-2021,Springer
European Journal of Biology,26022575,26186144,Oct-2021,Istanbul University Press
Genders and Sexualities in History,27309479,27309487,Oct-2021,Springer:  Palgrave Macmillan
Nawpa Pacha,00776297,20516207,Oct-2021,Informa:  Taylor & Francis
Journal of Applied Communications,,24761362,Oct-2021,"Association for Communication Excellence in Agriculture, Natural Resources, and Life and Human Sciences"
Regional Sustainability,,2666660X,Oct-2021,KeAI Publishing Group
Global Transitions,,25897918,Oct-2021,KeAI Publishing Group
Koloproctologia,20737556,26867303,Oct-2021,All-Russian public organization 'Association of Coloproctologists of Russia?
Russian Journal of Neurosurgery,16833295,25877569,Oct-2021,'ABV-press' Publishing House
Fyodorov Journal of Ophthalmic Surgery,02354160,23124970,Oct-2021,Oftalmologiya
Vestnik Vosstanovitel?noj Mediciny,20781962,27132625,Oct-2021,National Medical Research Center of Rehabilitation and Balneology of the Ministry of Health of the Russian Federation
Lexicographica,01756206,18659403,Oct-2021,Walter de Gruyter
Global Transformations in Media and Communication Research,26345978,26345986,Oct-2021,Springer:  Palgrave Macmillan
Creative Cardiology,19973187,24109169,Oct-2021,Bakoulev National Medical Research Center for Cardiovascular Surgery
Russian Journal of Allergy,18108830,2686682X,Oct-2021,Pharmarus Print Media
Communication in Biomathematical Sciences,,25492896,Oct-2021,Indonesian Biomathematical Society
Povolzhskii Ekologicheskii Zhurnal,16847318,25418963,Oct-2021,"A. N. Severtsov Institute of Ecology and Evolution, Russian Academy of Sciences"
Mathematical Sciences,20081359,22517456,Oct-2021,Springer
Kitaibelia,12199672,20644507,Oct-2021,"University of Debrecen, Faculty of Science and Technology"
Palgrave Macmillan Memory Studies,26346257,26346265,Oct-2021,Springer:  Palgrave Macmillan
Journal of Global Responsibility,20412568,20412576,Oct-2021,Emerald
Frontiers in Sports and Active Living,,26249367,Oct-2021,Frontiers Media S.A.
Sustainable Futures,,26661888,Oct-2021,Elsevier
Neofilolog,14292173,25453971,Oct-2021,Polskie Towarzystwo Neofilologiczne
Avicenna Journal of Phytomedicine,22287930,22287949,Oct-2021,Mashhad University of Medical Sciences
Environmental Advances,,26667657,Oct-2021,Elsevier
Cleaner and Responsible Consumption,,26667843,Oct-2021,Elsevier
Journal of Second Language Studies,25423835,25423843,Oct-2021,John Benjamins Publishing Co.
Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,26841843,,Oct-2021,eCAADe
Bioactive Compounds in Health and Disease,,25740334,Oct-2021,Functional Food Center Inc.
Transactions on Intelligent Welding Manufacturing,25208519,25208527,Oct-2021,Springer
Latin-American Center for Informatics Studies Eletronic Journal,,07175000,Oct-2021,Latin-american Center for Informatics Studies
Journal of Medical Artificial Intelligence,,26172496,Oct-2021,AME Publishing Company
Frontiers in Artificial Intelligence,,26248212,Oct-2021,Frontiers Media S.A.
Frontiers in Computer Science,,26249898,Oct-2021,Frontiers Media S.A.
IACR Transactions on Cryptographic Hardware and Embedded Systems,,25692925,Oct-2021,Ruhr-Universität Bochum
European Journal of Family Business,24448788,2444877X,Oct-2021,University of Malaga
WSEAS Transactions on Systems,11092777,22242678,Oct-2021,WSEAS World Scientific and Engineering Academy and Society
Springer Series in Supply Chain Management,23656395,23656409,Oct-2021,Springer
"Palgrave Studies of Cross-Disciplinary Business Research, in Association with EuroMed Academy of Business",25238167,25238175,Oct-2021,Springer:  Palgrave Macmillan
Virtues and Economics,25201794,25201808,Oct-2021,Springer
Journal of International Business Policy,25220691,25220705,Oct-2021,Springer:  Palgrave Macmillan
Acta Universitatis Carolinae Studia Territorialia,12134449,23363231,Oct-2021,Karolinum Press
Journal of Dental Research Dental Clinics Dental Prospects,2008210X,20082118,Oct-2021,Tabriz University of Medical Sciences and Health Services
Iranian Journal of Veterinary Medicine,22518894,22520554,Oct-2021,University of Tehran
CommIT Journal,19792484,24607010,Oct-2021,Bina Nusantara University
Progress in Probability,10506977,22970428,Oct-2021,Springer:  Birkhauser
"Studies on Entrepreneurship, Structural Change and Industrial Dynamics",25112023,25112031,Oct-2021,Springer
"Science: Philosophy, History and Education",25208594,25208608,Oct-2021,Springer
Perspectives on Geographical Marginality,23670002,23670010,Oct-2021,Springer
Springer Series on Demographic Methods and Population Analysis,18772560,22151990,Oct-2021,Springer
Earth System Governance,,25898116,Oct-2021,Elsevier
Innovation and Management Review,,25158961,Oct-2021,Emerald
IFAC Journal of Systems and Control,,24686018,Oct-2021,Elsevier
MedUNAB,01237047,23824603,Oct-2021,Universidad Autonoma de Bucaramanga
Ceramics,,25716131,Oct-2021,MDPI Multidisciplinary Digital Publishing Institute
InfoMat,,25673165,Oct-2021,Wiley-Blackwell
Carbon Trends,,26670569,Oct-2021,Elsevier
"Infection, Epidemiology and Microbiology",25884107,25884115,Oct-2021,Tarbiat Modares University
Substantia,,25323997,Oct-2021,Firenze University Press
Organ Transplantation,16747445,,Oct-2021,"Editorial Department of Organ Transplantation, Periodical Center of the Third Affiliated Hospital of Sun Yat-sen University"
"Food Production, Processing and Nutrition",,26618974,Oct-2021,Springer:  BioMed Central (BMC)
International Journal of Diplomacy and Economy,20490887,20490895,Oct-2021,Inderscience Publishers
New England Journal of Entrepreneurship,,25748904,Oct-2021,Emerald
Micro and Macro Marketing,11214228,26122073,Oct-2021,Societa Editrice il Mulino
Proceedings of the Hamburg International Conference of Logistics,23654430,23655070,Oct-2021,Epubli GmbH
International Journal of Taiwan Studies,24688797,24688800,Oct-2021,Brill
Zanry Reci,23110740,23110759,Oct-2021,Saratov State University
Vessel Plus,,25741209,Oct-2021,OAE Publishing Inc.
Open Respiratory Archives,,26596636,Oct-2021,Elsevier: Doyma
F and S Science,,2666335X,Oct-2021,Elsevier
F and S Reports,,26663341,Oct-2021,Elsevier
New Directions in Irish and Irish American Literature,27313182,27313190,Sep-2021,Springer:  Palgrave Macmillan
Chemical Industry and Engineering Progress,10006613,,Sep-2021,Chemical Industry Press Co. Ltd.
Bamboo and Silk,24689238,24689246,Sep-2021,Brill
Journal of Laboratory and Precision Medicine,,25199005,Sep-2021,AME Publishing Company
ExRNA,,23980060,Sep-2021,AME Publishing Company
Palgrave Studies in the History of Social Movements,26346559,26346567,Sep-2021,Springer:  Palgrave Macmillan
Transforming Communication,27309320,27309339,Sep-2021,Springer:  Palgrave Macmillan
Folia Malacologica,15067629,23007125,Sep-2021,The Association of Polish Malacologists
African Journal of Thoracic and Critical Care Medicine,26170191,26170205,Sep-2021,South African Medical Association
Hattoria,21858241,24238961,Sep-2021,Hattori Botanical Laboratory
Music and Science,,20592043,Sep-2021,Sage
Studies in Theoretical Psycholinguistics,18730043,22151788,Sep-2021,Springer
Journal of African Films and Diaspora Studies,25162705,25162713,Sep-2021,Adonis & Abbey Publishers Ltd
"New Materials, Compounds and Applications",25217194,25234773,Sep-2021,Jomard Publishing
Torture,10188185,19973322,Sep-2021,International Rehabilitation Council for Torture Victims
Membranes and Membrane Technologies,25177516,25177524,Sep-2021,Springer
MRS Energy and Sustainability,,23292237,Sep-2021,Springer
Chemical Problems,22218688,25221655,Sep-2021,Institute of catalysis and inorganic chemistry
Revista Mexicana de Ciencias Forestales,20071132,24486671,Sep-2021,Instituto Nacional de Investigaciones Forestales Agrícolas y Pecuarias
World Congress in Computational Mechanics and ECCOMAS Congress,,26966999,Sep-2021,Scipedia
Advances in Aerodynamics,,25246992,Sep-2021,Springer
"Journal of Tourism, Heritage and Services Marketing",,25291947,Sep-2021,International Hellenic University
Population and Economics,,26583798,Sep-2021,Pensoft Publishers
Journal of Rheumatic Diseases,2093940X,22334718,Sep-2021,Korean College of Rheumatology
Asia Pacific Allergy,22338276,22338286,Sep-2021,"Asia Pacific Association of Allergy, Asthma, and Clinical Immunology (APAAACI)"
Global Power Shift,21987343,21987351,Sep-2021,Springer
Studies in Diplomacy and International Relations,27313921,2731393X,Sep-2021,Springer:  Palgrave Macmillan
Frontiers in Communication,,2297900X,Sep-2021,Frontiers Media S.A.
Politics of Citizenship and Migration,25208896,2520890X,Sep-2021,Springer:  Palgrave Macmillan
International Explorations in Outdoor and Environmental Education,22144218,22144226,Sep-2021,Springer
Perspectives on Public Management and Governance,23984910,23984929,Sep-2021,Oxford University Press
Cuadernos de Ilustracion y Romanticismo,,21730687,Sep-2021,Editorial UCA (Universidad de Cádiz)
E-Revista de Estudos Interculturais,,21826439,Sep-2021,"Centre for Intercultural Studies, Polytechnic of Porto"
Tetsugaku Companions to Japanese Philosophy,26622181,2662219X,Sep-2021,Springer
Interdisciplinary Contributions to Archaeology,15682722,,Sep-2021,Springer
Popular Music History,17407133,,Sep-2021,Equinox Publishing
"Religion, Spirituality and Health: A Social Scientific Approach",26276011,2627602X,Sep-2021,Springer
Science Vector of Togliatti State University,20735073,27128458,Sep-2021,Togliatti State University
Bulgarian Journal of Psychiatry,2367881X,23678828,Sep-2021,Bulgarian Psychiatric Association
Larhyss Journal,11123680,25219782,Sep-2021,Research Laboratory in Subterranean and Surface Hydraulics
Grey Systems,20439377,20439385,Sep-2021,Emerald
IEEE Open Journal of Nanotechnology,,26441292,Sep-2021,IEEE Institute of Electrical and Electronics Engineers
Tonkie Khimicheskie Tekhnologii,24106593,26867575,Sep-2021,MIREA - Russian Technological University
